UniqueId,Delay
5420077969,False
1020758229,False
6687811896,True
8365605418,False
8019405718,True
4062781273,True
2355391609,False
8469604228,False
2732194894,False
9784423697,True
9968504859,False
5453381490,True
7722226334,False
6345328269,False
1681500044,False
2952430924,False
9845628694,False
5353996897,True
2969926155,False
5945158356,False
6548329103,True
2741619477,False
1731769135,True
6902670844,False
9089611762,False
1913883700,True
8276169596,False
2758133753,False
7332034292,False
3836894738,True
6166200189,False
3428691656,True
9264242334,False
9534543247,False
4419510167,True
9095475537,False
3800378393,True
1391494244,False
0552732928,False
8733352411,False
7619071494,True
9465847338,False
8447618970,True
3110878377,False
4143818565,False
2487299552,True
1720532549,False
3863229608,False
8099966017,True
3342383577,False
9202536124,False
9685874517,False
3795765177,False
1281236095,False
2926591272,False
2699755955,True
8489952796,False
1893700854,False
7336219886,False
4824809985,False
4742980589,False
2672884008,False
9769339571,False
0826558350,True
2748334767,False
9855642847,True
2571390571,True
0728378151,True
6900171661,True
4028893076,False
7913946826,True
6959096166,False
5043434563,False
7769806886,False
5536610902,True
1387296868,False
8464039248,False
5937906260,False
1528599184,False
1133671020,False
0032277701,False
5012738148,False
8659733546,False
4595561744,False
4131224572,False
5669083173,False
9258277700,False
7108337906,False
0009231909,False
5007692123,True
9835762300,True
7952881452,False
0739678368,True
9990243864,False
3715216234,False
6569769457,False
6215256535,False
5437619752,True
8456442808,True
5288556291,True
6734044490,False
9671446662,False
9192101573,False
8140634585,True
3943254945,False
6453395358,False
4516618888,False
9837408169,False
7056862793,False
0374328279,False
5895996518,False
1671914105,False
6845689075,True
7914349615,False
8394111674,False
4668608174,True
7314902402,False
4540004449,True
9520565243,True
4771056498,False
4192014066,False
4178322106,False
1281718631,True
9200902255,True
1591349086,False
7424213127,False
5833648536,False
8161191244,True
3556859305,False
5866933192,True
5069265898,False
4935255726,True
0190687025,False
5963438295,True
9153643214,True
8732544679,True
9506972426,False
7356874575,True
7310206701,True
0975332365,False
5160746172,False
8815422174,False
8401420623,True
9081761696,False
0472551457,False
3564452169,False
9012691752,False
2137157897,False
7249316066,True
4444986261,True
4483283236,False
1767708917,False
6552135455,True
4878686047,False
9012800022,True
9566884305,False
6256102305,False
7510320434,True
9188803308,False
5584805665,False
4591110269,False
7100218787,False
7541035636,False
1587873226,True
2752068327,False
2549781436,False
0681889913,False
6545436181,False
7704631121,False
9219327120,False
4160925882,False
8673355331,True
6059357698,False
4478015837,False
5993794287,False
9936482887,False
1323201810,False
1026638537,False
1452931813,False
8912612689,True
8269617897,False
9250499188,False
8301711992,False
9027165795,False
4237427511,False
7958057215,True
0781909762,True
7807904455,False
3094167273,False
7957459350,True
8604269690,False
9166038468,True
5211667829,False
3109120531,False
3394333507,False
3218896620,False
0122662308,False
4395512737,True
2912484665,True
5732190469,False
5404048854,False
0036478577,False
8329193507,False
9485505932,True
5104471628,False
4077139866,True
9685029181,True
3509509542,False
2131645470,False
8336544833,False
0760825845,True
6534753348,False
2158841878,False
0367399005,False
8284200295,True
2125307184,True
5419865968,False
9314800674,True
3056950219,False
8292540307,False
3374535086,True
5390563017,False
7085238926,False
8864060748,False
0023864272,False
2970425808,False
0206372278,True
1801620782,False
0624274413,True
5153888748,False
9614769756,True
2515817366,False
5734148846,False
3675527586,False
6375941605,False
7285560671,False
0401983784,False
4318317513,False
8793921356,False
8273521159,False
3845592498,True
7698255051,False
5934744260,False
7218760518,True
1890815777,True
7838596678,True
3557541459,True
5713630505,True
3285658330,True
0145315244,False
4783562096,False
0910856055,True
2161519126,False
2953405140,False
5554804891,False
2338417971,False
7152768721,False
7050267416,False
8137093063,True
4094908034,False
3732687518,False
9193816294,False
5112375133,False
4739557586,False
2960848343,True
5564408624,True
8282397668,False
1774766742,False
0368163381,False
6571920928,False
7642713224,False
2440506703,True
5352209758,False
3559978043,False
6961910816,False
3271911081,True
2666514859,True
3542268547,True
3355481569,False
3491048160,False
6970184838,False
5464873037,False
3932416127,True
6685760751,False
5984065624,True
4026967253,False
3289097967,True
6463057288,False
3438246206,False
6140117683,False
5135727501,False
5666197272,False
0557941160,True
3398429374,False
0775479959,True
7497563219,True
